은행,카드명,혜택,분류
우리은행,우리V카드 / 철도마일리지,"0.8%
국내 가맹점(철도 승차권 구매 제외) 신용 및 Two-in-one 결제금액 0.8% 적립, 5%
철도 승차권 결제액의 5% 적립 1일 2회, 월 최대 2만 포인트, 연 12만 포인트 적립, 무이자할부
백화점, 대형마트, 병·의원 365일 2~3개월 무이자 할부","2, 3,"
우리은행,그랑블루 체크카드,"전세계 800여 공항라운지 이용이 가능한 Priority Pass 카드 제공
매년 연회비 상당의 7가지 선택형 기프트 제공
여행, 골프, 라이프스타일에서 체크카드로 누리는 프리미엄서비스","2, 6,"
우리은행,카드의정석 COOKIE CHECK,"CGV, 롯데시네마 5천원 캐시백
전세계 1,000여개 공항라운지 무료 입장 서비스
OK캐쉬백, CJ ONE 멤버십 기능 탑재","6, 7,"
우리은행,카드의정석 CREAM TEENS CHECK,"편의점, 서점, 베이커리/패스트푸드, 티머니 충전 1천원 캐시백
OK캐시백, CJ ONE 멤버십 기능 탑재
티머니 선불 교통카드 기능 탑재","1, 2, 3, 4,"
우리은행,카드의정석 SSO3 CHECK,"저녁 6시~12시 모든 음식점, 주점, 노래방 5% 캐시백
대형할인점, 편의점·뷰티스토어, 해외결제 각 5% 캐시백
주유, 택시, 버스·지하철 각 5% 캐시백","1, 2, 3, 4, 6,"
우리은행,갤러리아 체크카드,"갤러리아백화점 5% 현장할인
커피, 영화, 이동통신, 대중교통, 전기차 충전금액 적립","1, 2, 3, 4, 5,"
우리은행,카드의 정석 UniMile CHECK,"국내외 적립 가맹점에서 UniMile 0.2%~1.5% 적립
국내외 공항라운지 무료 이용서비스
초과 위탁수하물 5kg 무료 제공","3, 6,"
우리은행,위메프 우리체크,"5%
위메프 포인트 적립, 30%
스타벅스 할인, 5%
편의점 업종 할인","1, 2, 3,"
우리은행,에코마일리지 우리체크카드,"50%
놀이공원 자유이용권 50% 할인, 5%
버스, 지하철 이용시 5% 적립, 에코마일리지
에코머니 적립","2, 7,"
우리은행,우리 한국장학재단(KOSAF) 체크카드,"학자금 대출 상환
포인트로  학자금 대출 원리금 상환, 3,000P
토익 응시료 건당 3,000P 적립, 3,000P
인터넷교보문고, 인터넷영풍문고 건당 3,000P 적립","2, 3,"
우리은행,New 현대백화점 체크카드,"현대백화점 구입 금액 5% 즉시 할인
현대아울렛 이용금액 캐시백","3,"
우리은행,카드의정석 APT Check,"아파트 관리비 할인
아파트 관리비 3천원 ~10천원 캐시백, 유튜브 프리미엄 정기권 청구할인
유튜브 프리미엄 월 정기권 카드 자동납부 시 30% 캐시백",
우리은행,카드의정석 U+알뜰모바일 CHECK,캐시백 서비스,
우리은행,CJ ONE 우리카드 체크,"캐시백 서비스
올리브영, CGV, 뚜레쥬르, 대중교통 3천원 캐시백, 인천공항 라운지 무료이용 서비스
통합 월 1회, 연 2회 제공, MasterCard Platinum 서비스
MasterCard Platinum 서비스","1, 2, 3, 6, 7,"
우리은행,LoL CHAMPIONS KOREA 우리체크카드,"1~2% 캐시백
해외이용수수료 면제/ 해외가맹점 이용금액 1~2% 캐시백, 10% 할인
G마켓/옥션 10% 할인, 다양한 할인
커피, 디저트, 영화, 어학원, 버거/피자, 편의점/드러그스토어, 대중교통, 휴대전화 할인","1, 2, 3, 5, 6,"
우리은행,서울대학교 CHECK,"10%
교보문고, 영풍문고 10% 할인, 10%
YBM시사 · 파고다 · 해커스 어학원, 토익 · 텝스 응시료 10% 할인, 멤버쉽 카드
OK캐쉬백 멤버십 카드 기능 탑재","2,"
우리은행,카드의 정석 K-CHECK,"3천원
휴대전화 자동납부 요금, 후불교통, 대형마트 캐시백, 1천원
저녁 음식점, 편의점, 슈퍼마켓 캐시백, 무료 이용
전 세계 공항라운지 무료 이용 서비스","1, 2, 3, 5, 6,"
우리은행,카드의정석 SSO3 CHECK,"저녁 캐시백
저녁 6시~12시 모든 음식점, 주점, 노래방 5% 캐시백, 쇼핑 캐시백
대형할인점, 편의점·뷰티스토어, 해외결제 각 5% 캐시백, 교통 캐시백
주유, 택시, 버스·지하철 각 5% 캐시백","1, 2, 3, 4, 6,"
우리은행,카카오페이 체크카드,"5%
카카오페이 가맹점 이용금액 5% 캐쉬백, 5%
온라인 쇼핑몰 이용금액 5% 캐쉬백, 5%
오프라인 쇼핑 이용금액 5% 캐쉬백","3,"
우리은행,한베가족 썸(SUM)타는 우리 체크카드,"1~2% 캐시백
해외이용수수료 면제 / 해외가맹점 이용금액 1~2% 캐시백, 무료이용
인천 공항라운지 무료이용, 10% 할인
G마켓/옥션 10% 할인","3, 6,"
우리은행,배달의민족 우리체크,"20% 할인
배달의민족 서비스 20% 할인, 해외이용수수료 면제
해외가맹점 물품 구매시 건당 $0.5 (면제), 다양한 할인
온라인 쇼핑, 커피, 디저트, 영화, 어학원, 교통, 통신요금 할인","1, 2, 3, 5, 6,"
우리은행,우리 아이행복체크카드,"5%
병원/약국, 대중교통 5% 할인, 50%
놀이공원 50% 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,우리국민행복체크카드,"3%
병/의원, 조산원, 산후조리원  업종 3%, 3%
에코머니 적립, 3%
전국 시내버스, 지하철 3% 할인 (캐시백)","2,"
우리은행,OK캐쉬백 썸(SUM)타는 우리체크카드,"OK캐쉬백 포인트 적립 및 사용
OK캐쉬백 멤버십 서비스, 10% 할인
G마켓/옥션 10% 할인, 3천원 할인
휴대전화 요금 3천원 할인","3, 5,"
우리은행,라떼 우리체크카드,"커피전문점 캐시백 서비스
커피전문점 할인캐시백","1,"
우리은행,롯데마트 라서즐거운 체크카드,"10%
롯데마트 할인서비스 제공, 3,000원
전국 영화관  3,000원 할인, 20%
커피전문점  20% 할인","1, 2, 3, 7,"
우리은행,우리군인연금증체크카드,"무료이용
버스 월4회 무료이용서비스, 1~3만원, 10%
백화점 일 1회, 월 3회, 1,500원,  10%
통신요금 월1회","2, 3, 5,"
우리은행,우리 국민연금증체크카드,"5천원 지원
버스요금 통합 매월 4회, 5천원 지원, 1만원,  5%
전통시장 최고 5%, 최대 1만원 할인, 3,000원
온라인 서점 3천원","2, 3,"
우리은행,LGU+ 라서즐거운 체크카드,"3,000원 ~ 5,000원
LGU+ 통신요금할인서비스 제공, 2,000원 할인
전국 영화관2,000원 할인, 10% 할인
커피전문점 20% 할인","1, 5, 7,"
우리은행,다둥이행복체크카드,"2,000원
영화할인, 10%
유아 출산 유명의류 상시 10% 할인, 3%할인
한국프뢰벨㈜ 상시3% 할인","3,"
우리은행,우리 YG 체크카드,"10%
YG 공연티켓, 온라인몰 할인, 50%
놀이공원 50% 할인, 20%
커피전문점20% 할인","1, 3, 7,"
우리은행,해피포인트 우리체크카드,"20%
해피포인트 가맹점  20% 할인, 5%
해피포인트 5% 적립, 5%
주요할인점 5% 할인","3,"
우리은행,POP 우리V체크카드,"5%
GS25, 미스터도넛 5% 할인, 10%
T-money 충전 10% 할인, 50%
전화영어 수강료 50% 할인","1, 2, 4,"
우리은행,POP Woori V Check Card (외국인 전용),"10%
10% discount at family restaurants, 20%
20% discount at Starbucks the Coffee Bean, 50%
discount on phone English lessons",
우리은행,POP 우리V스쿨카드,"20%
스타벅스, 커피빈 커피 20% 할인, 5%
GS25, 미스터도넛 5% 할인, 10%
T-money 충전시 10% 할인","1, 2, 4,"
우리은행,Korea DAYPASS 체크카드,"5%
버스/지하철 이용금액의 5% 청구할인 (월최대 3천원), 1천원
휴대전화요금 자동이체시 1천원 청구할인, 통합10회면제
당행 자동화기기(인출), 인터넷뱅킹, 텔레뱅킹 수수료면제","2, 5,"
우리은행,화물차유류구매카드(개인체크),"부가세 환급지원
카드 이용대금중 부가세환급 대상 내역 지원!, 주유 할인 서비스
에쓰오일, 현대오일뱅크알뜰주유소 주유 할인제공, 10%
패밀리레스토랑캐쉬백 할인!","1, 3, 4,"
우리은행,우리성당 체크카드,"3,000원
모든 영화관 할인, 5% 할인
모든 병원, 약국 5% 할인, 20% 할인
스타벅스, 투썸플레이스 20% 할인","1, 2, 7,"
우리은행,국기원 단증 체크카드,"1~2% 캐시백
해외 이용 수수료 면제 및 이용금액 1~2% 캐시백, 10%할인
G마켓/옥션 10%할인, 다양한 할인
커피, 디저트, 영화, 어학원, 대중교통, 휴대전화 할인","1, 2, 3, 5, 6,"
우리은행,우리 SCHOOL CHECK,"1천원 캐시백
편의점, 서점, 베이커리/패스트푸드, 티머니 충전 건당 최대 1천원 캐시백, OK캐시백, CJ ONE 멤버십
OK캐시백, CJ ONE 멤버십 기능 탑재, 티머니 선불
티머니 선불 교통카드 기능 탑재","1, 2, 3, 4,"
우리은행,FC EXPRESS 체크,"해외이용금액 외화결제계좌 달러 인출
해외가맹점 이용 시 이용수수료 면제
국내 전가맹점 0.3% 모아포인트 적립","3, 6,"
우리은행,국제학생증체크카드,"국제학생증
ISEC 국제학생증 기능 탑재, 6,000원
CGV, 메가박스, 롯데시네마 최대 6천원 할인, 2,000원
인터넷 토익 응시료 2천원할인","2, 7,"
우리은행,우리V외국인체크카드,"50%
외환 환전 송금 최대 50% 환율 우대, 송금수수료 면제
4회차 송금수수료 면제, 4천원
CGV영화 최대 4천원 청구할인","6, 7,"
우리은행,우리ONE 체크카드 국제ATM,"30%
해외에서 예금인출시 자동 환율우대 30%, 500원
해외에서$300 이상 인출시 인출수수료 최저 500원, 5%
외국어학원, 유학원 업종 5% 청구할인","2, 6,"
